,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
3554347,1930,193004,3209733,1.0,,8,1,1,1.0,1,30,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,625,516,30,F48BB011-9A7B-434D-966B-24E13E589BEB
2743766,1930,193004,2985270,1.0,,8,1,2,1.0,2,34,1,140,1,100,200,20000,5,3.0,5.0,12.0,1200.0,1.0,1.0,12.0,999,0,0,258B0C9B-5527-4E4E-9DCA-D183ECA98845
2671282,1930,193004,2964373,1.0,,8,1,1,1.0,2,37,1,140,0,0,35,3500,1,0.0,0.0,0.0,0.0,2.0,1.0,12.0,999,0,0,3366BB9C-5C2B-4B28-A4BA-2C57DDF8EAAF
1382657,1910,191004,1688870,1.0,,8,4,1,1.0,1,0,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,A6CDD408-46E0-48CC-B1DA-7E11A8728BC3
2354708,1920,192003,2251749,1.0,,8,1,4,1.0,2,0,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,4C6C5540-E45B-4975-AC3F-FE61E38E4FA7
2063850,1920,192003,2179053,1.0,,8,1,4,1.0,2,4,1,100,0,0,48,4800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,5B67F04C-1C05-469E-9562-BFDEC423BAB4
2951473,1930,193004,3048956,1.0,,8,1,2,1.0,2,47,1,100,0,0,465,46500,5,3.0,5.0,2.0,200.0,2.0,1.0,10.0,999,0,0,72CA2AB1-094D-4DDB-B161-FDC01BC61275
4182264,1940,194002,3943243,1.0,,8,1,2,1.0,2,31,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,45BC6F54-B836-47F0-9B95-0F68108500D2
1800647,1920,192003,2093020,1.0,,8,4,1,1.0,1,21,1,100,1,100,200,20000,5,3.0,1.0,,,1.0,1.0,10.0,650,216,24,E938881C-6E12-4790-A5DA-7ED835C53507
3056397,1930,193004,3080197,1.0,,8,1,3,1.0,1,54,1,100,0,0,18,1800,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,979,0,D231FFD5-600E-4C2E-A498-64F7A15A0877
1471815,1910,191004,1712434,1.0,,8,2,9,1.0,1,45,1,100,0,0,434,43400,5,3.0,1.0,10.0,1000.0,1.0,1.0,10.0,970,336,20,6D838A22-69A5-411A-9C54-FB84111E3A62
2409867,1920,192003,2267408,1.0,,8,1,3,1.0,2,1,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,4EB045EB-1144-488A-9DC7-C05EFE611AEE
