,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
13645,1880,188002,91728,10.02,,8,,1,2,10.02,2,35,1,100,0,0,36,3600,2,,,,,,1,10,980,0,0
67610,1910,191002,1457601,100.0,1910014576011.0,8,12110806700.0,1,4,100.0,1,24,1,100,0,0,8,800,4,0.0,0.0,1.0,100.0,2.0,1,10,100,105,14
3776,1880,188002,89026,4.97,,8,,4,11,4.98,1,17,1,100,0,0,31,3100,1,,,,,,1,10,995,0,0
3555,1880,188002,88875,9.95,,8,,3,1,9.95,1,41,1,100,0,0,26,2600,4,,,,,,1,10,970,0,20
146546,1930,193002,161069,20.48,1930001610692.0,8,24920810102.0,1,1,20.48,2,67,1,100,0,0,17,1700,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
63676,1910,191002,1365801,100.0,1910013658011.0,8,11320801300.0,1,3,100.0,2,15,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
130276,1930,193002,156736,20.88,1930001567362.0,8,24310805500.0,1,2,20.88,1,31,1,100,1,100,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,683,646,25
34613,1900,190001,57073,18.62,1900000570731.0,8,12210800001.0,1,2,18.62,2,46,1,100,0,0,400,40000,5,0.0,5.0,,,2.0,1,10,999,0,0
18690,1880,188002,93249,10.32,,8,,2,4,10.33,2,13,1,100,0,0,29,2900,1,,,,,,1,10,983,0,0
79923,1910,191003,21128601,71.71,1910211286011.0,8,11920804301.0,1,5,71.71,1,5,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
111613,1930,193002,150961,20.05,1930001509612.0,8,23220803102.0,1,5,20.05,2,9,1,100,0,0,31,3100,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
38247,1900,190001,57961,19.96,1900000579611.0,8,12410800002.0,2,9,19.96,1,28,1,100,0,0,47,4700,1,0.0,0.0,,,2.0,1,10,490,656,24
65999,1910,191002,1417701,100.0,1910014177011.0,8,11720803101.0,1,6,100.0,1,13,1,100,0,0,36,3600,4,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
112073,1930,193002,151096,20.05,1930001510962.0,8,23310803101.0,1,4,20.05,2,24,1,100,0,0,19,1900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
96852,1930,193001,31099,100.95,1930000310991.0,8,24110804302.0,1,2,100.95,2,30,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
28909,1900,190001,55615,19.56,1900000556151.0,8,11910800002.0,1,6,19.56,1,15,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,690,418,23
36000,1900,190001,57423,18.81,1900000574231.0,8,12310800001.0,1,4,18.81,2,28,1,100,0,0,39,3900,4,0.0,0.0,,,2.0,1,10,633,847,12
57052,1900,190002,1100901,100.0,1900011009011.0,8,13010811901.0,1,1,100.0,1,33,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1,10,650,239,24
16917,1880,188002,92740,10.32,,8,,4,5,10.33,1,22,1,100,0,0,23,2300,1,,,,,,1,10,55,879,62
