,variable,year,population
568,Philippines,1920,49
569,China,1920,223
570,India,1920,46
571,West Indies,1920,77
572,Israel/Palestine,1920,30
573,"United Kingdom, ns",1920,5
574,Puerto Rico,1920,19
575,Cuba,1920,62
576,Alaska,1920,38
577,Albania,1920,9
578,Estonia,1920,2
579,Atlantic Islands,1920,11
580,Iran,1920,2
581,Indonesia,1920,7
582,Latvia,1920,2
583,"Europe, ns",1920,12
584,American Samoa,1920,4
585,Gibraltar,1920,1
586,Malta,1920,4
587,Lebanon,1920,5
588,"Asia Minor, ns",1920,1
589,Oman,1920,1
590,U.S. Virgin Islands,1920,1
591,Monaco,1920,1
592,Native American,1920,1
593,"Middle East, ns",1920,5
594,"Southwest Asia, nec/ns",1920,1
595,Iceland,1920,1
596,"Eastern Europe, ns",1920,1
597,Kansas,1930,63845
598,Colorado,1930,419405
599,Missouri,1930,65835
600,Arkansas,1930,8324
601,Denmark,1930,2379
602,Massachusetts,1930,3091
603,Wisconsin,1930,10140
604,Nebraska,1930,47689
605,Ohio,1930,20514
606,Iowa,1930,45582
607,Illinois,1930,46954
608,California,1930,4500
609,Pennsylvania,1930,16114
610,Oregon,1930,1520
611,Indiana,1930,18119
612,Michigan,1930,8901
613,New York,1930,14229
614,Minnesota,1930,6919
615,Utah,1930,4527
616,Wyoming,1930,6051
617,Mississippi,1930,2067
618,Kentucky,1930,10731
619,New Jersey,1930,2269
620,North Dakota,1930,1525
621,Texas,1930,16522
622,Hungary,1930,690
623,"United States, ns",1930,2115
624,Lithuania,1930,254
625,South Carolina,1930,568
626,Alabama,1930,2601
627,Sweden,1930,8337
628,Georgia,1930,2404
629,Canada,1930,6801
630,Idaho,1930,1708
631,Switzerland,1930,1211
632,Germany,1930,9988
633,Oklahoma,1930,18237
634,South Dakota,1930,3803
635,Other USSR/Russia,1930,13065
636,New Mexico,1930,27624
637,Washington,1930,1852
638,Czechoslovakia,1930,1737
639,Montana,1930,2189
640,SOUTH AMERICA,1930,242
641,Norway,1930,1270
642,Virginia,1930,3301
643,Ireland,1930,4115
644,Tennessee,1930,7056
645,Florida,1930,641
646,Mexico,1930,13248
647,North Carolina,1930,2174
648,Austria,1930,2590
649,Italy,1930,10613
650,Romania,1930,441
651,Poland,1930,2472
652,Maine,1930,1300
653,Japan,1930,1396
654,Vermont,1930,1009
655,West Virginia,1930,3212
656,Delaware,1930,216
657,Maryland,1930,1401
658,Netherlands,1930,808
659,Scotland,1930,2884
660,England,1930,6919
661,Arizona,1930,1192
662,Philippines,1930,234
663,Hawaii,1930,58
664,Belgium,1930,391
665,Louisiana,1930,1802
666,Connecticut,1930,1193
667,Yugoslavia,1930,3641
668,New Hampshire,1930,497
669,Greece,1930,1241
670,Estonia,1930,12
671,Bulgaria,1930,270
672,District of Columbia,1930,416
673,Rhode Island,1930,351
674,Nevada,1930,395
675,Gibraltar,1930,1
676,France,1930,1082
677,West Indies,1930,50
678,Puerto Rico,1930,39
679,Wales,1930,1066
680,Finland,1930,565
681,Korea,1930,46
682,Spain,1930,226
683,China,1930,187
684,Turkey,1930,87
685,India,1930,57
686,Syria,1930,254
687,Portugal,1930,19
688,Central America,1930,28
689,Australia and New Zealand,1930,144
690,Latvia,1930,54
691,AFRICA,1930,58
692,Cuba,1930,41
693,Israel/Palestine,1930,28
694,Luxembourg,1930,52
695,Alaska,1930,42
696,"Middle East, ns",1930,3
697,"Lapland, n.s.",1930,1
698,Abroad (unknown) or at sea,1930,14
699,Indonesia,1930,12
700,Albania,1930,9
701,Atlantic Islands,1930,9
702,Iran,1930,5
703,"Asia, nec/ns",1930,4
704,Iceland,1930,1
705,"Europe, ns",1930,25
706,"United Kingdom, ns",1930,3
707,U.S. Virgin Islands,1930,7
708,Pacific Islands,1930,2
709,"Southwest Asia, nec/ns",1930,2
710,Thailand,1930,1
711,Lebanon,1930,1
712,Afghanistan,1930,2
713,Nebraska,1940,58094
714,Colorado,1940,525446
715,Pennsylvania,1940,12901
716,Illinois,1940,41670
717,Wisconsin,1940,8524
718,Iowa,1940,42152
719,Louisiana,1940,1776
720,Missouri,1940,64400
721,North Dakota,1940,2371
722,Oklahoma,1940,25714
723,New York,1940,11201
724,Kansas,1940,79388
